text,label
I often forget recent conversations,1
I struggle to find the right words,1
I repeat the same questions frequently,1
I feel confused in familiar places,1
I forget names of close people,1
I have trouble following conversations,1
I lose track of time easily,1
I misplace things very often,1
I find it hard to concentrate,1
I forget important dates,1
I am mentally sharp and active,0
I remember things clearly,0
I have no issues with memory,0
I can easily follow conversations,0
I feel confident in my thinking,0
I stay organized in daily life,0
I can recall names and faces easily,0
I manage tasks without confusion,0
I think clearly and logically,0
I do not repeat questions,0
Sometimes I pause while speaking,1
I struggle forming sentences,1
I forget what I was saying mid sentence,1
I feel disoriented occasionally,1
I get confused with simple tasks,1
I enjoy solving puzzles and thinking,0
I am focused and attentive,0
I understand things quickly,0
I have good memory retention,0
I communicate clearly,0
